name,speed,acceleration,weight,handling,traction
Baby Peach,2.25,4,2,5,4.25
Baby Daisy,2.25,4,2,5,4.25
Baby Rosalina,2.25,4.25,2,4.75,3.75
Lemmy,2.25,4.25,2,4.75,3.75
Baby Mario,2.5,4.25,2.25,4.5,4
Baby Luigi,2.5,4.25,2.25,4.5,4
Dry Bones,2.5,4.25,2.25,4.5,4
Koopa Troopa,2.75,4,2.5,4.5,4.25
Lakitu,2.75,4,2.5,4.5,4.25
Bowser Jr.,2.75,4,2.5,4.5,4.25
Toadette,2.75,4.25,2.5,4.25,3.5
Wendy,2.75,4.25,2.5,4.25,3.5
Isabelle,2.75,4.25,2.5,4.25,3.5
Toad,3,4,2.75,4.25,4
Shy Guy,3,4,2.75,4.25,4
Larry,3,4,2.75,4.25,4
Cat Peach,3.25,4,2.75,4,3.75
Inkling (F),3.25,4,2.75,4,3.75
Villager (F),3.25,4,2.75,4,3.75
Peach,3.5,3.75,3,3.75,3.75
Daisy,3.5,3.75,3,3.75,3.75
Yoshi,3.5,3.75,3,3.75,3.75
Tanooki Mario,3.5,3.75,3.25,3.75,3.25
Inkling (M),3.5,3.75,3.25,3.75,3.25
Villager (M),3.5,3.75,3.25,3.75,3.25
Luigi,3.75,3.5,3.5,3.75,3.25
Iggy,3.75,3.5,3.5,3.75,3.25
Mario,3.75,3.5,3.5,3.5,3.5
Ludwig,3.75,3.5,3.5,3.5,3.5
Metal Mario,4.25,3.25,4.5,3.25,3.25
Pink Gold Peach,4.25,3.25,4.5,3.25,3.25
Rosalina,4,3.25,3.75,3.25,3.75
King Boo,4,3.25,3.75,3.25,3.75
Link,4,3.25,3.75,3.25,3.75
Donkey Kong,4.5,3.25,4,3,3
Waluigi,4.5,3.25,4,3,3
Roy,4.5,3.25,4,3,3
Wario,4.75,3,4.25,2.75,3.25
Dry Bowser,4.75,3,4.25,2.75,3.25
Bowser,4.75,3,4.5,2.5,3
Morton,4.75,3,4.5,2.5,3
