name,speed,acceleration,weight,handling,traction
Standard Kart,0,0,0,0,0
Pipe Frame,-0.5,0.5,-0.25,0.5,0.25
Mach 8,0,-0.25,0.25,-0.25,0.25
Steel Driver,0.25,-0.75,0.5,-0.5,0
Cat Cruiser,-0.25,0.25,0,0.25,0
Circuit Special,0.5,-0.75,0.25,-0.5,-0.5
Tri-Speeder,0.25,-0.75,0.5,-0.5,0
Badwagon,0.5,-1,0.5,-0.75,0.5
Prancer,0.25,-0.5,-0.25,0,-0.25
Biddybuggy,-0.75,0.75,-0.5,0.5,0.25
Landship,-0.5,0.5,-0.5,0.25,0.75
Sneeker,0.25,-0.5,0,0,-0.75
Sports Coupé,0,-0.25,0.25,-0.25,0.25
Gold Standard,0.25,-0.5,0,0,-0.75
GLA,0.5,-1,0.5,-0.75,0.5
W 25 Silver Arrow,-0.25,0.25,-0.25,0.25,0.5
300 SL Roadster,0,0,0,0,0
Blue Falcon,0.25,-0.25,-0.5,-0.25,0
Tanooki Kart,-0.25,-0.5,0.25,0.25,1
B Dasher,0.5,-0.75,0.25,-0.5,-0.5
Streetle,-0.5,0.5,-0.5,0.25,0.75
P-Wing,0.5,-0.75,0.25,-0.5,-0.5
Koopa Clown,-0.25,-0.5,0.25,0.25,1
Standard Bike,-0.25,0.25,-0.25,0.25,0.5
Comet+,-0.25,0.25,0,0.25,0
Sport Bike+,0.25,-0.5,-0.25,0,-0.25
The Duke,0,0,0,0,0
Flame Rider,-0.25,0.25,-0.25,0.25,0.5
Varmint,-0.5,0.5,-0.25,0.5,0.25
Mr. Scooty,-0.75,0.75,-0.5,0.5,0.25
Jet Bike+,0.25,-0.5,-0.25,0,-0.25
Yoshi Bike+,-0.25,0.25,0,0.25,0
Master Cycle+,0.25,-0.5,0,0,-0.75
City Tripper,-0.5,0.5,-0.25,0.5,0.25
Standard Quad,0.5,-1,0.5,-0.75,0.5
Wild Wiggler,-0.25,0.25,-0.25,0.25,0.5
Teddy Buggy,-0.25,0.25,0,0.25,0
Bone Rattler,0.25,-0.75,0.5,-0.5,0
Splat Buggy,0.25,-0.25,-0.5,-0.25,0
Inkstriker,0,-0.25,0.25,-0.25,0.25
Master Cycle Zero,-0.25,-0.5,0.25,0.25,1
